in,out,meal_type,price
2025-08-07,2025-08-10,room_only,72750
2025-08-07,2025-08-10,breakfast,73478
2025-08-17,2025-08-21,room_only,12412
2025-08-17,2025-08-21,breakfast,13382
2025-08-17,2025-08-21,room_only,18170
2025-08-17,2025-08-21,room_only,19170
2025-08-17,2025-08-21,room_only,22070
2025-08-17,2025-08-21,room_only,17456
2025-08-17,2025-08-21,breakfast,18426
2025-08-17,2025-08-21,room_only,25554
2025-08-17,2025-08-21,room_only,26554
2025-08-17,2025-08-21,room_only,29454
2025-08-17,2025-08-21,room_only,97000
2025-08-17,2025-08-21,breakfast,97970
2025-07-24,2025-07-27,room_only,8436
2025-07-24,2025-07-27,breakfast,9164
2025-07-24,2025-07-27,room_only,12350
2025-07-24,2025-07-27,room_only,13100
2025-07-24,2025-07-27,room_only,15275
2025-07-24,2025-07-27,room_only,11055
2025-07-24,2025-07-27,breakfast,11783
2025-07-24,2025-07-27,room_only,16184
2025-07-24,2025-07-27,room_only,16934
2025-07-24,2025-07-27,room_only,19109
2025-07-24,2025-07-27,room_only,12219
2025-07-24,2025-07-27,breakfast,12947
2025-07-24,2025-07-27,room_only,17888
2025-07-24,2025-07-27,room_only,18638
2025-07-24,2025-07-27,room_only,20813
2025-07-24,2025-07-27,room_only,13674
2025-07-24,2025-07-27,breakfast,14402
2025-07-24,2025-07-27,room_only,20018
2025-07-24,2025-07-27,room_only,20768
2025-07-24,2025-07-27,room_only,22943
2025-07-24,2025-07-27,room_only,72750
2025-07-24,2025-07-27,breakfast,73478
2025-08-03,2025-08-07,room_only,10666
2025-08-03,2025-08-07,breakfast,11636
2025-08-03,2025-08-07,room_only,15614
2025-08-03,2025-08-07,room_only,16614
2025-08-03,2025-08-07,room_only,19514
2025-08-03,2025-08-07,room_only,14158
2025-08-03,2025-08-07,breakfast,15128
2025-08-03,2025-08-07,room_only,20726
2025-08-03,2025-08-07,room_only,21726
2025-08-03,2025-08-07,room_only,24626
2025-08-03,2025-08-07,room_only,15710
2025-08-03,2025-08-07,breakfast,16680
2025-08-03,2025-08-07,room_only,22998
2025-08-03,2025-08-07,room_only,23998
2025-08-03,2025-08-07,room_only,26898
2025-08-03,2025-08-07,room_only,97000
2025-08-03,2025-08-07,breakfast,97970
2025-07-27,2025-07-31,room_only,9939
2025-07-27,2025-07-31,breakfast,10909
2025-07-27,2025-07-31,room_only,14549
2025-07-27,2025-07-31,room_only,15549
2025-07-27,2025-07-31,room_only,18449
2025-07-27,2025-07-31,room_only,13237
2025-07-27,2025-07-31,breakfast,14207
2025-07-27,2025-07-31,room_only,19377
2025-07-27,2025-07-31,room_only,20377
2025-07-27,2025-07-31,room_only,23277
2025-07-27,2025-07-31,room_only,14789
2025-07-27,2025-07-31,breakfast,15759
2025-07-27,2025-07-31,room_only,21649
2025-07-27,2025-07-31,room_only,22649
2025-07-27,2025-07-31,room_only,25549
2025-07-27,2025-07-31,room_only,97000
2025-07-27,2025-07-31,breakfast,97970
2025-07-20,2025-07-24,room_only,15613
2025-07-20,2025-07-24,breakfast,16583
2025-07-20,2025-07-24,room_only,22856
2025-07-20,2025-07-24,room_only,23856
2025-07-20,2025-07-24,room_only,26756
2025-07-20,2025-07-24,room_only,19105
2025-07-20,2025-07-24,breakfast,20075
2025-07-20,2025-07-24,room_only,27968
2025-07-20,2025-07-24,room_only,28968
2025-07-20,2025-07-24,room_only,31868
2025-07-20,2025-07-24,room_only,20657
2025-07-20,2025-07-24,breakfast,21627
2025-07-20,2025-07-24,room_only,30240
2025-07-20,2025-07-24,room_only,31240
2025-07-20,2025-07-24,room_only,34140
2025-07-20,2025-07-24,room_only,22597
2025-07-20,2025-07-24,breakfast,23567
2025-07-20,2025-07-24,room_only,33080
2025-07-20,2025-07-24,room_only,34080
